Correlativo,Timestamp,Estado anterior,Estado nuevo,Motivo
1939,2026-01-10 10:45:00,EN_CURSO,REALIZADA,
2144,2026-01-10 10:45:00,PROGRAMADA,EN_CURSO,
1776,2026-01-10 11:00:00,EN_CURSO,REALIZADA,
609,2026-01-10 11:00:00,PROGRAMADA,EN_CURSO,
2144,2026-01-10 11:30:00,EN_CURSO,REALIZADA,
1761,2026-01-10 11:30:00,PROGRAMADA,EN_CURSO,
609,2026-01-10 12:00:00,EN_CURSO,REALIZADA,
1773,2026-01-10 12:00:00,PROGRAMADA,EN_CURSO,
1761,2026-01-10 12:15:00,EN_CURSO,REALIZADA,
1015,2026-01-10 12:15:00,PROGRAMADA,EN_CURSO,
1773,2026-01-10 13:00:00,EN_CURSO,REALIZADA,
1015,2026-01-10 13:00:00,EN_CURSO,REALIZADA,
1949,2026-01-10 13:00:00,PROGRAMADA,EN_CURSO,
1949,2026-01-10 14:00:00,EN_CURSO,REALIZADA,
1877,2026-01-10 14:00:00,PROGRAMADA,EN_CURSO,
1877,2026-01-10 15:00:00,EN_CURSO,REALIZADA,
1174,2026-01-10 16:00:00,PROGRAMADA,EN_CURSO,
1174,2026-01-10 18:00:00,EN_CURSO,REALIZADA,
2147,2026-01-11 08:00:00,PROGRAMADA,EN_CURSO,
1125,2026-01-11 08:00:00,PROGRAMADA,EN_CURSO,
2147,2026-01-11 08:45:00,EN_CURSO,REALIZADA,
561,2026-01-11 08:45:00,PROGRAMADA,EN_CURSO,
1125,2026-01-11 09:30:00,EN_CURSO,REALIZADA,
561,2026-01-11 09:30:00,EN_CURSO,REALIZADA,
288,2026-01-11 09:30:00,PROGRAMADA,EN_CURSO,
1341,2026-01-11 10:00:00,PROGRAMADA,EN_CURSO,
288,2026-01-11 10:15:00,EN_CURSO,REALIZADA,
355,2026-01-11 10:45:00,PROGRAMADA,EN_CURSO,
1341,2026-01-11 11:30:00,EN_CURSO,REALIZADA,
355,2026-01-11 11:30:00,EN_CURSO,REALIZADA,
1689,2026-01-11 11:30:00,PROGRAMADA,EN_CURSO,
2052,2026-01-11 11:30:00,PROGRAMADA,EN_CURSO,
1689,2026-01-11 12:15:00,EN_CURSO,REALIZADA,
349,2026-01-11 12:15:00,PROGRAMADA,EN_CURSO,
2052,2026-01-11 13:00:00,EN_CURSO,REALIZADA,
349,2026-01-11 13:00:00,EN_CURSO,REALIZADA,
1037,2026-01-11 13:00:00,PROGRAMADA,EN_CURSO,
571,2026-01-11 13:30:00,PROGRAMADA,EN_CURSO,
1037,2026-01-11 15:00:00,EN_CURSO,REALIZADA,
571,2026-01-11 15:00:00,EN_CURSO,REALIZADA,
474,2026-01-11 15:15:00,PROGRAMADA,EN_CURSO,
474,2026-01-11 16:30:00,EN_CURSO,REALIZADA,
475,2026-01-11 16:45:00,PROGRAMADA,EN_CURSO,
475,2026-01-11 18:00:00,EN_CURSO,REALIZADA,
376,2026-01-12 08:00:00,PROGRAMADA,EN_CURSO,
2026,2026-01-12 08:00:00,PROGRAMADA,EN_CURSO,
2167,2026-01-12 08:00:00,PROGRAMADA,EN_CURSO,
1844,2026-01-12 08:00:00,PROGRAMADA,EN_CURSO,
524,2026-01-12 08:00:00,PROGRAMADA,EN_CURSO,
1337,2026-01-12 08:00:00,PROGRAMADA,EN_CURSO,
459,2026-01-12 08:00:00,PROGRAMADA,EN_CURSO,
459,2026-01-12 08:45:00,EN_CURSO,REALIZADA,
2167,2026-01-12 09:00:00,EN_CURSO,REALIZADA,
1844,2026-01-12 09:00:00,EN_CURSO,REALIZADA,
1306,2026-01-12 09:00:00,PROGRAMADA,EN_CURSO,
1186,2026-01-12 09:00:00,PROGRAMADA,EN_CURSO,
1707,2026-01-12 09:00:00,PROGRAMADA,EN_CURSO,
1337,2026-01-12 09:15:00,EN_CURSO,REALIZADA,
2117,2026-01-12 09:15:00,PROGRAMADA,EN_CURSO,
1186,2026-01-12 09:45:00,EN_CURSO,REALIZADA,
376,2026-01-12 10:00:00,EN_CURSO,REALIZADA,
2026,2026-01-12 10:00:00,EN_CURSO,REALIZADA,
524,2026-01-12 10:00:00,EN_CURSO,REALIZADA,
1306,2026-01-12 10:00:00,EN_CURSO,REALIZADA,
1707,2026-01-12 10:00:00,EN_CURSO,REALIZADA,
1201,2026-01-12 10:00:00,PROGRAMADA,EN_CURSO,
1103,2026-01-12 10:00:00,PROGRAMADA,EN_CURSO,
1176,2026-01-12 10:00:00,PROGRAMADA,EN_CURSO,
1043,2026-01-12 10:00:00,PROGRAMADA,EN_CURSO,
2032,2026-01-12 10:00:00,PROGRAMADA,EN_CURSO,
1150,2026-01-12 10:00:00,PROGRAMADA,EN_CURSO,
2117,2026-01-12 10:30:00,EN_CURSO,REALIZADA,
1150,2026-01-12 10:45:00,EN_CURSO,REALIZADA,
1726,2026-01-12 10:45:00,PROGRAMADA,EN_CURSO,
1201,2026-01-12 11:00:00,EN_CURSO,REALIZADA,
1103,2026-01-12 11:00:00,EN_CURSO,REALIZADA,
1043,2026-01-12 11:00:00,EN_CURSO,REALIZADA,
1299,2026-01-12 11:00:00,PROGRAMADA,EN_CURSO,
2163,2026-01-12 11:00:00,PROGRAMADA,EN_CURSO,
538,2026-01-12 11:00:00,PROGRAMADA,EN_CURSO,
1176,2026-01-12 11:30:00,EN_CURSO,REALIZADA,
1726,2026-01-12 11:30:00,EN_CURSO,REALIZADA,
2113,2026-01-12 11:30:00,PROGRAMADA,EN_CURSO,
2032,2026-01-12 12:00:00,EN_CURSO,REALIZADA,
538,2026-01-12 12:00:00,EN_CURSO,REALIZADA,
1217,2026-01-12 12:00:00,PROGRAMADA,EN_CURSO,
340,2026-01-12 12:00:00,PROGRAMADA,EN_CURSO,
2054,2026-01-12 12:00:00,PROGRAMADA,EN_CURSO,
2113,2026-01-12 12:15:00,EN_CURSO,REALIZADA,
493,2026-01-12 12:15:00,PROGRAMADA,EN_CURSO,
1299,2026-01-12 13:00:00,EN_CURSO,REALIZADA,
2163,2026-01-12 13:00:00,EN_CURSO,REALIZADA,
1217,2026-01-12 13:00:00,EN_CURSO,REALIZADA,
2054,2026-01-12 13:00:00,EN_CURSO,REALIZADA,
493,2026-01-12 13:00:00,EN_CURSO,REALIZADA,
1098,2026-01-12 13:00:00,PROGRAMADA,EN_CURSO,
1703,2026-01-12 13:00:00,PROGRAMADA,EN_CURSO,
340,2026-01-12 14:00:00,EN_CURSO,REALIZADA,
1098,2026-01-12 14:00:00,EN_CURSO,REALIZADA,
1073,2026-01-12 14:00:00,PROGRAMADA,EN_CURSO,
1271,2026-01-12 14:00:00,PROGRAMADA,EN_CURSO,
1969,2026-01-12 14:00:00,PROGRAMADA,EN_CURSO,
1858,2026-01-12 14:00:00,PROGRAMADA,EN_CURSO,
425,2026-01-12 14:00:00,PROGRAMADA,EN_CURSO,
445,2026-01-12 14:30:00,PROGRAMADA,EN_CURSO,
1976,2026-01-12 14:30:00,PROGRAMADA,EN_CURSO,
1073,2026-01-12 15:00:00,EN_CURSO,REALIZADA,
1271,2026-01-12 15:00:00,EN_CURSO,REALIZADA,
1858,2026-01-12 15:00:00,EN_CURSO,REALIZADA,
425,2026-01-12 15:00:00,EN_CURSO,REALIZADA,
2118,2026-01-12 15:00:00,PROGRAMADA,EN_CURSO,
1288,2026-01-12 15:00:00,PROGRAMADA,EN_CURSO,
1031,2026-01-12 15:00:00,PROGRAMADA,EN_CURSO,
426,2026-01-12 15:00:00,PROGRAMADA,EN_CURSO,
1976,2026-01-12 15:30:00,EN_CURSO,REALIZADA,
1703,2026-01-12 16:00:00,EN_CURSO,REALIZADA,
1969,2026-01-12 16:00:00,EN_CURSO,REALIZADA,
445,2026-01-12 16:00:00,EN_CURSO,REALIZADA,
2118,2026-01-12 16:00:00,EN_CURSO,REALIZADA,
1031,2026-01-12 16:00:00,EN_CURSO,REALIZADA,
426,2026-01-12 16:00:00,EN_CURSO,REALIZADA,
1843,2026-01-12 16:00:00,PROGRAMADA,EN_CURSO,
2085,2026-01-12 16:00:00,PROGRAMADA,EN_CURSO,
586,2026-01-12 16:00:00,PROGRAMADA,EN_CURSO,
